actual,lstm_pred
658.0249390921506,648.3273314544139
675.0559041675731,649.150600338828
689.0063882382733,651.181857373746
601.2099271779279,655.8515282390129
617.1139673237539,654.4981831786638
682.7361025350662,659.6024502620314
643.0777661057799,698.1224373958871
633.206980268548,768.3084978596237
968.64597532511,944.3819063555392
986.1245824613972,997.8815940584905
964.9407679144044,1003.3998676241993
1052.277356818312,998.319192723788
999.4390987004856,1003.9364936226668
998.551236455932,1004.0446244612167
1014.7019168791958,1003.8293457917401
1024.0586292316643,996.2656577443664
1023.647203913866,995.3703194423615
1026.8405485976891,1003.4161940986364
984.2288612302286,1023.2355190031543
992.5533298760784,1055.5702298443766
1149.1296019537228,1095.3766320412815
1116.719084026675,1142.1935881699421
1129.7761447669852,1157.332268852356
1139.8729046782862,1155.011644290797
1149.5334376254252,1147.8119468705024
1085.4617865084108,1143.9826620441315
1147.7724518148896,1144.6441406956087
1124.0607091213728,1145.4787355374203
1147.5902533392757,1148.0406243612777
1149.3271028765366,1151.9520971728389
1170.1016870956448,1146.049350092946
1163.740151758196,1085.4076098189073
903.7604809975916,959.0767804658178
906.1879474114902,882.646027843789
877.3806640527329,884.6255754722681
870.9008166082552,883.9105309189767
891.9166165117925,883.5125036529449
888.3982132181598,883.241353821929
862.3695335138777,883.8010163903485
880.216774652541,879.556376117371
869.2187777627194,877.7825869432354
848.7478667208328,878.7738913644533
902.357707966743,894.8542960210913
871.4761704955864,918.254509341981
1001.2177064424712,938.8446992082186
909.3626932450042,955.1249829719754
936.0805306789158,962.2219026713201
950.8159709172718,963.2650874568246
978.4345274407228,961.4792938363343
959.9867343150546,960.4615283457814
957.7618188545188,959.6823772708902
921.8184051861464,958.3133681977631
921.0764650692632,956.0006183820549
958.0626165072476,954.2538031507967
915.8973501545412,955.037238856741
936.7030562427668,955.1444401119951
962.5229332271464,955.7118492078799
925.4418931930808,957.6860490611915
990.1338990590452,958.2692397033746
980.5984086059472,960.9250698644386
910.7145000415424,963.4201675942469
926.6907189204504,962.2713415438469
892.8555688876263,960.7002282403669
930.4352159362968,958.0008038281879
969.15971191431,956.8263127309306
939.6526264431286,957.7546886369668
961.5199310903992,958.0371964799766
911.9416420429563,958.8359649678695
969.9493813645475,958.0422824759399
936.1222693017912,958.8298852794173
950.3042420570728,958.7261459205754
947.6781374651736,958.8026175027396
918.2112869776928,958.9973171213222
921.1728917065054,958.0426137067695
974.1948617250856,956.8834126519988
959.9748039375424,957.6797556754301
976.2512260388356,958.6528691131865
958.116455887563,960.2742226541035
953.5747658702304,961.0562372729404
906.8497345333308,960.8629907960616
943.2408325809708,958.826369958678
949.3153919899064,957.8572099211452
998.8276799568144,957.6810805987483
967.1739158024668,959.8703240544962
988.4015295427382,961.2871372157333
964.9384426473682,962.6689147030962
932.217419326263,962.315213601464
952.9281054037464,960.3443794807753
955.905591156606,959.1646421145724
926.5211107557328,958.57475206174
940.390315585177,957.479264859763
944.8558251580708,956.7843960036942
990.140495814128,956.2804229541009
897.9814868652255,958.0371323707838
980.145460517901,957.6998432225125
926.5801191260156,959.6936818585568
915.6980203182596,959.9738604008943
979.4985532509615,958.8913659953281
968.2974517308596,960.0596491857478
981.3629675595296,961.0003874811321
970.0175486886394,961.6314142660215
1001.4961250434352,961.5744318784734
963.9680959236122,962.264150629386
946.0880655969212,961.3295027073193
958.5731594330337,959.195318363335
981.0867282086492,958.1253786746952
930.5156168684972,958.1190639192027
933.7027854367154,957.4059025734505
942.2759996350524,956.3647158577887
897.3854300308667,955.6320973720167
953.4519602104386,954.5845531614007
902.8467824012243,955.5556471595834
951.3264828233156,954.9575724998015
971.6322439033812,955.4861741643016
938.078088483904,957.6725327063729
991.9278967546718,958.4897860115277
913.4874775145378,960.2175821822505
979.7815170407958,959.4110244274303
966.878426410173,959.6137056405187
907.0991687922328,959.5559432577913
1017.7698574760132,957.3309696119138
948.4063678624008,960.1902716661107
928.0628994461092,960.854304000435
914.8228201303996,959.2102344355302
944.499549308508,956.5432385900508
946.814828190251,955.4890377082475
952.5661382134916,955.4787481828004
942.555096094401,954.9827033033854
965.8306327528774,953.881264631342
940.3092541834188,953.3222111002542
901.6258970689884,951.6594857602398
946.265962608759,949.3483600440829
890.813058665668,949.2702964169638
958.8442657722848,949.1215203501685
925.5174942429342,951.7646782607857
954.084008872895,952.7757977650166
982.8518745381152,954.2291104266969
926.2812826183,957.2690615013844
976.5314064628028,957.7276986667911
939.165260832846,958.1881308895968
